time;device_id;msg_type;position_time;lat;lon
05/08/2024 6:16;229107;poll_msg;;;
05/08/2024 6:16;229107;poll_msg;;;
05/08/2024 6:30;229107;poll_msg;05/08/2024 6:30;384145622;-26794314
05/08/2024 6:30;229107;poll_msg;05/08/2024 6:30;384145502;-26793383
05/08/2024 6:45;229107;seq_msg;;;
05/08/2024 6:45;229107;poll_msg;05/08/2024 6:45;383832987;-26826653
05/08/2024 7:00;229107;poll_msg;05/08/2024 6:55;383815555;-26935666
05/08/2024 7:15;229107;seq_msg;;;
05/08/2024 7:15;229107;poll_msg;05/08/2024 6:55;383815555;-26935666
05/08/2024 7:30;229107;poll_msg;05/08/2024 6:55;383815555;-26935666
05/08/2024 7:45;229107;seq_msg;;;
05/08/2024 7:46;229107;poll_msg;05/08/2024 7:46;3838144;-26933101
05/08/2024 8:00;229107;poll_msg;05/08/2024 8:00;383815929;-26932527
05/08/2024 8:15;229107;seq_msg;;;
05/08/2024 8:15;229107;poll_msg;05/08/2024 8:15;38382739;-26948993
05/08/2024 8:30;229107;poll_msg;05/08/2024 8:30;383831904;-26977657
05/08/2024 8:30;229107;poll_msg;05/08/2024 8:30;383831919;-26977647
05/08/2024 8:30;229107;poll_msg;05/08/2024 8:30;383831919;-26977647
05/08/2024 8:30;229107;poll_msg;05/08/2024 8:30;383831929;-26977643
05/08/2024 8:45;229107;seq_msg;;;
05/08/2024 8:45;229107;poll_msg;05/08/2024 8:45;383825997;-26979583
05/08/2024 9:00;229107;poll_msg;05/08/2024 8:59;383831013;-2697867
05/08/2024 9:09;229107;warning_message;05/08/2024 9:09;383829162;-26977109
05/08/2024 9:10;229107;pulse_message;05/08/2024 9:10;383829383;-26977004
05/08/2024 9:10;229107;poll_msg;05/08/2024 9:10;383828746;-26978367
05/08/2024 9:15;229107;seq_msg;;;
05/08/2024 9:15;229107;poll_msg;05/08/2024 9:15;383829588;-26980693
05/08/2024 9:30;229107;poll_msg;05/08/2024 9:30;383831625;-26978206
05/08/2024 9:31;229107;poll_msg;05/08/2024 9:31;38383168;-26978151
05/08/2024 9:45;229107;seq_msg;;;
05/08/2024 9:45;229107;poll_msg;05/08/2024 9:45;383831473;-26981144
05/08/2024 10:00;229107;poll_msg;05/08/2024 9:59;383831111;-2698114
05/08/2024 10:15;229107;seq_msg;;;
05/08/2024 10:15;229107;poll_msg;05/08/2024 10:15;383825069;-26986369
05/08/2024 10:30;229107;poll_msg;05/08/2024 10:30;383825098;-2697991
05/08/2024 10:33;229107;poll_msg;05/08/2024 10:33;383826699;-26978682
05/08/2024 10:37;229107;warning_message;05/08/2024 10:37;383826837;-26977933
05/08/2024 10:37;229107;pulse_message;05/08/2024 10:37;383826442;-26977866
05/08/2024 10:37;229107;poll_msg;05/08/2024 10:37;383826017;-26978447
05/08/2024 10:45;229107;seq_msg;;;
05/08/2024 10:45;229107;poll_msg;05/08/2024 10:45;383818676;-26983526
05/08/2024 10:45;229107;warning_message;05/08/2024 10:45;38381809;-2698533
05/08/2024 10:46;229107;pulse_message;05/08/2024 10:46;383817316;-26988546
05/08/2024 10:46;229107;poll_msg;05/08/2024 10:46;383816837;-26989108
05/08/2024 10:46;229107;warning_message;05/08/2024 10:46;383816463;-26989427
05/08/2024 10:46;229107;poll_msg;05/08/2024 10:46;383813322;-26990216
05/08/2024 10:46;229107;pulse_message;05/08/2024 10:46;383813322;-26990216
05/08/2024 10:46;229107;warning_message;05/08/2024 10:46;383811893;-26990625
05/08/2024 10:46;229107;pulse_message;05/08/2024 10:46;383808915;-26990026
05/08/2024 10:46;229107;poll_msg;05/08/2024 10:46;383808696;-26990261
05/08/2024 10:46;229107;poll_msg;05/08/2024 10:46;383808308;-26990763
05/08/2024 11:00;229107;poll_msg;05/08/2024 11:00;383808911;-26993805
05/08/2024 11:15;229107;seq_msg;;;
05/08/2024 11:15;229107;poll_msg;05/08/2024 11:15;383809648;-26993121
05/08/2024 11:30;229107;poll_msg;05/08/2024 11:30;383810703;-26992882
05/08/2024 11:45;229107;seq_msg;;;
05/08/2024 11:45;229107;poll_msg;05/08/2024 11:45;38381021;-26994864
05/08/2024 12:00;229107;poll_msg;05/08/2024 12:00;383809356;-26994315
05/08/2024 12:15;229107;seq_msg;;;
05/08/2024 12:15;229107;poll_msg;05/08/2024 12:00;383809605;-26994363
05/08/2024 12:30;229107;poll_msg;05/08/2024 12:27;38381031;-26992971
05/08/2024 12:45;229107;seq_msg;;;
05/08/2024 12:45;229107;poll_msg;05/08/2024 12:45;383810533;-26992362
05/08/2024 13:00;229107;poll_msg;05/08/2024 13:00;383810865;-26992672
05/08/2024 13:15;229107;seq_msg;;;
05/08/2024 13:15;229107;poll_msg;05/08/2024 13:06;383810763;-26991223
05/08/2024 13:30;229107;poll_msg;05/08/2024 13:30;383809963;-26991219
05/08/2024 13:45;229107;seq_msg;;;
05/08/2024 13:45;229107;poll_msg;05/08/2024 13:45;383811226;-26987358
05/08/2024 14:00;229107;poll_msg;05/08/2024 14:00;383810254;-26986816
05/08/2024 14:15;229107;seq_msg;;;
05/08/2024 14:15;229107;poll_msg;05/08/2024 14:15;38381206;-2698774
05/08/2024 14:30;229107;poll_msg;05/08/2024 14:30;383810778;-26991927
05/08/2024 14:45;229107;seq_msg;;;
05/08/2024 14:45;229107;poll_msg;05/08/2024 14:42;383809265;-26992506
05/08/2024 15:00;229107;poll_msg;05/08/2024 15:00;383808035;-26990394
05/08/2024 15:15;229107;seq_msg;;;
05/08/2024 15:15;229107;poll_msg;05/08/2024 15:13;383809035;-26990915
05/08/2024 15:30;229107;poll_msg;05/08/2024 15:26;383808059;-26990833
05/08/2024 15:45;229107;seq_msg;;;
05/08/2024 15:45;229107;poll_msg;05/08/2024 15:26;383808059;-26990833
05/08/2024 16:00;229107;poll_msg;05/08/2024 15:26;383808059;-26990833
05/08/2024 16:15;229107;seq_msg;;;
05/08/2024 16:15;229107;poll_msg;05/08/2024 16:10;383808925;-26992277
05/08/2024 16:30;229107;poll_msg;05/08/2024 16:30;383810839;-2698627
05/08/2024 16:45;229107;seq_msg;;;
05/08/2024 16:45;229107;poll_msg;05/08/2024 16:45;383811551;-26986864
05/08/2024 17:00;229107;poll_msg;05/08/2024 17:00;383808865;-26990903
05/08/2024 17:15;229107;seq_msg;;;
05/08/2024 17:15;229107;poll_msg;05/08/2024 17:15;383808667;-26990469
