device_id;sent_time;received_time;msg_type;lat;lon;end_date;mode;collar_status;fence_status;hour
229107;10/10/2024 06:12:17;10/10/2024 06:16:16;poll_msg;38.3843983;-2.6894531;10/10/2024 06:31:12;fence;sleep;normal;10/10/2024 06:00:00
229107;10/10/2024 06:31:12;10/10/2024 06:31:16;poll_msg;38.3839673;-2.6896599;10/10/2024 06:32:38;fence;normal;normal;10/10/2024 06:00:00
229107;10/10/2024 06:32:38;10/10/2024 06:32:38;warn_msg;38.3836428;-2.6897244;10/10/2024 06:46:16;unknown;unknown;unknown;10/10/2024 06:00:00
229107;10/10/2024 06:46:16;10/10/2024 06:46:16;poll_msg;38.3833518;-2.6890768;10/10/2024 07:01:16;fence;normal;normal;10/10/2024 06:00:00
229111;10/10/2024 06:11:28;10/10/2024 06:12:42;poll_msg;38.3843496;-2.6894605;10/10/2024 06:26:47;fence;sleep;normal;10/10/2024 06:00:00
229111;10/10/2024 06:26:47;10/10/2024 06:27:44;poll_msg;38.3842986;-2.6895724;10/10/2024 06:42:42;fence;sleep;normal;10/10/2024 06:00:00
229111;10/10/2024 06:42:42;10/10/2024 06:42:43;poll_msg;38.383346;-2.6892213;10/10/2024 06:57:42;fence;normal;normal;10/10/2024 06:00:00
229111;10/10/2024 06:57:42;10/10/2024 06:57:42;poll_msg;38.3833715;-2.6892191;10/10/2024 07:12:42;fence;normal;normal;10/10/2024 06:00:00
229116;10/10/2024 06:27:54;10/10/2024 06:28:54;poll_msg;38.3843266;-2.6894059;10/10/2024 06:32:22;fence;sleep;normal;10/10/2024 06:00:00
229116;10/10/2024 06:32:22;10/10/2024 06:32:22;poll_msg;38.3836961;-2.6895762;10/10/2024 06:36:02;fence;normal;normal;10/10/2024 06:00:00
229116;10/10/2024 06:36:02;10/10/2024 06:36:02;warn_msg;38.3837175;-2.6889359;10/10/2024 06:43:52;unknown;unknown;unknown;10/10/2024 06:00:00
229116;10/10/2024 06:43:52;10/10/2024 06:43:54;poll_msg;38.3836678;-2.6893717;10/10/2024 06:58:52;fence;normal;normal;10/10/2024 06:00:00
229116;10/10/2024 06:58:52;10/10/2024 06:58:54;poll_msg;38.3836429;-2.6892779;10/10/2024 06:59:17;fence;normal;normal;10/10/2024 06:00:00
229116;10/10/2024 06:59:17;10/10/2024 06:59:19;poll_msg;38.3836923;-2.6892895;10/10/2024 07:13:57;fence;normal;normal;10/10/2024 06:00:00
229175;10/10/2024 06:30:47;10/10/2024 06:30:49;poll_msg;38.3841246;-2.6896572;10/10/2024 06:45:47;fence;normal;normal;10/10/2024 06:00:00
229175;10/10/2024 06:45:47;10/10/2024 06:45:49;poll_msg;38.3836619;-2.6892397;10/10/2024 07:00:47;fence;normal;normal;10/10/2024 06:00:00
229181;10/10/2024 06:13:07;10/10/2024 06:13:11;poll_msg;38.3843235;-2.6894738;10/10/2024 06:28:07;fence;normal;normal;10/10/2024 06:00:00
229181;10/10/2024 06:28:07;10/10/2024 06:28:11;poll_msg;38.3843363;-2.6894555;10/10/2024 06:36:05;fence;normal;normal;10/10/2024 06:00:00
229181;10/10/2024 06:36:05;10/10/2024 06:36:05;warn_msg;38.3836625;-2.6889057;10/10/2024 06:43:11;unknown;unknown;unknown;10/10/2024 06:00:00
229181;10/10/2024 06:43:11;10/10/2024 06:43:11;poll_msg;38.3835295;-2.6894943;10/10/2024 06:58:12;fence;normal;normal;10/10/2024 06:00:00
229181;10/10/2024 06:58:12;10/10/2024 06:58:12;poll_msg;38.3834705;-2.689273;10/10/2024 07:13:07;fence;normal;normal;10/10/2024 06:00:00
229198;10/10/2024 06:25:26;10/10/2024 06:25:26;warn_msg;38.3844113;-2.6893441;10/10/2024 06:28:41;unknown;unknown;unknown;10/10/2024 06:00:00
229198;10/10/2024 06:28:41;10/10/2024 06:29:41;poll_msg;38.3843264;-2.6894346;10/10/2024 06:44:37;fence;sleep;normal;10/10/2024 06:00:00
